StartTime,Direction,TalkingDuration,Answered,CallType,CallID,Status,To
2026-05-22T10:40:26.369116+07:00,Inbound,PT3M18.828038S,True,Extension,1,Answered,0113
2026-05-22T10:42:58.377029+07:00,Internal,PT3.150426S,True,System,1,Answered,*31
2026-05-22T10:44:25.374282+07:00,Inbound,PT11.96096S,True,Digital Receptionist,1,Answered,8439
2026-05-22T10:44:37.643146+07:00,Inbound Queue,PT1.791442S,True,Queue,1,Waiting,8196
2026-05-22T10:44:37.755191+07:00,Inbound,PT3M18.88936S,True,Extension,1,Answered,0113
2026-05-22T10:48:53.73183+07:00,Outbound,PT1M2.950267S,True,External,1,Answered,10024
2026-05-22T10:56:10.276171+07:00,Internal,PT0S,False,Extension,1,Unanswered,0112
2026-05-22T10:56:10.347934+07:00,Internal,PT11.349946S,True,System,1,Answered,0112
2026-05-22T10:56:21.777279+07:00,Inbound,PT1M56.191825S,True,System,1,Answered,0112
2026-05-22T10:56:29.53613+07:00,Internal,PT3.522895S,True,System,1,Answered,*30
2026-05-22T10:58:13.386943+07:00,Inbound,PT30M23.13817S,True,Extension,1,Answered,0112
2026-05-22T11:08:29.731832+07:00,Inbound,PT12.149185S,True,Digital Receptionist,1,Answered,8439
2026-05-22T11:08:41.898096+07:00,Inbound Queue,PT3.395044S,True,Queue,1,Waiting,8196
2026-05-22T11:08:42.689028+07:00,Inbound,PT1M42.944303S,True,Extension,1,Answered,0114
2026-05-22T11:09:53.671783+07:00,Internal,PT3.122583S,True,System,1,Answered,*31
2026-05-22T11:09:55.621935+07:00,Inbound,PT12.145443S,True,Digital Receptionist,1,Answered,8439
2026-05-22T11:10:07.787341+07:00,Inbound Queue,PT24.190187S,True,Queue,1,Waiting,8196
2026-05-22T11:10:30.604563+07:00,Inbound,PT2M17.992849S,True,Extension,1,Answered,0114
2026-05-22T11:11:22.124899+07:00,Internal,PT3.52118S,True,System,1,Answered,*30
2026-05-22T11:21:21.468014+07:00,Inbound,PT12.049755S,True,Digital Receptionist,1,Answered,8439
2026-05-22T11:21:33.53709+07:00,Inbound Queue,PT2.517801S,True,Queue,1,Waiting,8196
2026-05-22T11:21:34.141683+07:00,Inbound,PT8M1.330959S,True,Extension,1,Answered,0113
2026-05-22T11:29:45.390455+07:00,Internal,PT3.135952S,True,System,1,Answered,*31
2026-05-22T11:29:54.051726+07:00,Inbound,PT12.144818S,True,Digital Receptionist,1,Answered,8439
2026-05-22T11:30:06.160977+07:00,Inbound Queue,PT3.896136S,True,Queue,1,Waiting,8196
2026-05-22T11:30:06.872142+07:00,Inbound,PT8M3.788882S,True,Extension,1,Answered,0114
2026-05-22T11:37:19.055882+07:00,Inbound,PT11.906736S,True,Digital Receptionist,1,Answered,8439
2026-05-22T11:37:31.124366+07:00,Inbound Queue,PT2.48574S,True,Queue,1,Waiting,8196
2026-05-22T11:37:31.243351+07:00,Inbound,PT4M6.918921S,True,Extension,1,Answered,0112
2026-05-22T11:41:06.263771+07:00,Internal,PT3.432166S,True,System,1,Answered,*30
2026-05-22T11:49:32.299491+07:00,Inbound,PT12.062522S,True,Digital Receptionist,1,Answered,8439
2026-05-22T11:49:44.562237+07:00,Inbound Queue,PT2.677065S,True,Queue,1,Waiting,8196
2026-05-22T11:49:45.273301+07:00,Inbound,PT1M39.276268S,True,Extension,1,Answered,0113
2026-05-22T11:51:26.521452+07:00,Inbound Queue,PT4.607323S,True,Queue,1,Waiting,8048
2026-05-22T11:59:03.619438+07:00,Internal,PT3.091825S,True,System,1,Answered,*31
2026-05-22T12:01:26.446617+07:00,Internal,PT3.123062S,True,System,1,Answered,*31
2026-05-22T12:01:26.682813+07:00,Internal,PT3.142682S,True,System,1,Answered,*31
2026-05-22T13:01:45.818717+07:00,Internal,PT3.547308S,True,System,1,Answered,*30
2026-05-22T13:07:41.409973+07:00,Internal,PT3.528078S,True,System,1,Answered,*30
2026-05-22T13:09:13.16552+07:00,Internal,PT3.119345S,True,System,1,Answered,*31
2026-05-22T13:09:40.064232+07:00,Internal,PT3.479693S,True,System,1,Answered,*30
2026-05-22T13:11:19.812132+07:00,Internal,PT3.524158S,True,System,1,Answered,*30
2026-05-22T13:11:33.005131+07:00,Inbound,PT12.138594S,True,Digital Receptionist,1,Answered,8439
2026-05-22T13:11:45.362825+07:00,Inbound Queue,PT2.722081S,True,Queue,1,Waiting,8196
2026-05-22T13:11:45.649741+07:00,Inbound,PT41.039608S,True,Extension,1,Answered,0114
2026-05-22T13:12:26.754028+07:00,Inbound,PT5M3.589852S,True,Extension,1,Answered,0112
